Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2019-01-24,3584.500488,3569.093506,3616.087158,3600.865723,3600.865723,0,BTCUSD=X
2019-01-25,3607.390625,3575.59668,3612.928223,3599.766357,3599.766357,0,BTCUSD=X
2019-01-28,3584.283203,3439.233154,3586.750488,3470.450684,3470.450684,0,BTCUSD=X
2019-01-29,3468.870117,3400.819336,3476.064941,3448.116455,3448.116455,0,BTCUSD=X
2019-01-30,3443.897217,3429.387939,3495.175049,3486.181396,3486.181396,0,BTCUSD=X
2019-01-31,3485.408691,3447.915771,3504.804688,3457.793213,3457.793213,0,BTCUSD=X
2019-02-01,3460.547607,3431.591309,3501.953369,3487.946045,3487.946045,0,BTCUSD=X
2019-02-04,3467.21167,3442.587402,3476.223633,3459.154297,3459.154297,0,BTCUSD=X
2019-02-05,3454.951172,3451.937256,3478.148438,3466.357178,3466.357178,0,BTCUSD=X
2019-02-06,3469.091553,3398.56543,3469.091553,3413.767334,3413.767334,0,BTCUSD=X
2019-02-07,3414.929688,3394.21875,3427.946045,3399.471436,3399.471436,0,BTCUSD=X
2019-02-08,3401.376709,3391.023682,3695.614502,3666.780518,3666.780518,0,BTCUSD=X
2019-02-11,3695.613281,3642.287842,3695.613281,3648.429932,3648.429932,0,BTCUSD=X
2019-02-12,3642.752441,3618.556396,3668.587158,3653.528564,3653.528564,0,BTCUSD=X
2019-02-13,3653.603271,3617.246338,3669.746094,3632.071289,3632.071289,0,BTCUSD=X
2019-02-14,3631.17041,3607.697266,3646.256348,3616.881104,3616.881104,0,BTCUSD=X
2019-02-15,3617.36792,3608.206543,3647.795166,3620.811279,3620.811279,0,BTCUSD=X
2019-02-18,3671.369873,3669.982178,3936.665283,3915.715088,3915.715088,0,BTCUSD=X
2019-02-19,3911.662109,3908.153809,4010.87915,3947.094482,3947.094482,0,BTCUSD=X
2019-02-20,3946.685059,3926.246094,4000.486572,3999.821045,3999.821045,0,BTCUSD=X
2019-02-21,4000.255859,3940.108887,4010.009033,3954.11792,3954.11792,0,BTCUSD=X
2019-02-22,3952.406738,3950.817139,4006.538574,4005.525879,4005.525879,0,BTCUSD=X
2019-02-25,3807.001953,3807.001953,3913.70752,3882.695801,3882.695801,0,BTCUSD=X
2019-02-26,3878.697754,3837.986328,3891.578857,3854.35791,3854.35791,0,BTCUSD=X
2019-02-27,3857.47998,3787.05835,3888.801758,3851.047363,3851.047363,0,BTCUSD=X
2019-02-28,3848.261475,3845.821045,3906.057617,3854.7854,3854.7854,0,BTCUSD=X
2019-03-01,3853.757813,3851.692871,3907.794678,3859.583496,3859.583496,0,BTCUSD=X
2019-03-04,3845.092041,3733.749268,3867.381348,3761.556396,3761.556396,0,BTCUSD=X
2019-03-05,3759.832275,3745.183594,3903.916748,3896.375,3896.375,0,BTCUSD=X
2019-03-06,3897.081055,3871.461426,3919.510498,3903.942627,3903.942627,0,BTCUSD=X
2019-03-07,3903.38501,3894.112793,3939.372803,3911.484863,3911.484863,0,BTCUSD=X
2019-03-08,3913.226563,3875.22876,3950.431396,3901.131592,3901.131592,0,BTCUSD=X
2019-03-11,3953.739746,3889.239014,3966.384033,3905.228027,3905.228027,0,BTCUSD=X
2019-03-12,3903.758545,3863.559326,3926.88916,3909.156006,3909.156006,0,BTCUSD=X
2019-03-13,3913.047607,3891.904541,3926.5979,3906.716797,3906.716797,0,BTCUSD=X
2019-03-14,3905.577393,3901.297119,3946.504395,3924.369385,3924.369385,0,BTCUSD=X
2019-03-15,3926.662598,3914.015137,3968.542236,3960.910645,3960.910645,0,BTCUSD=X
2019-03-18,4029.96875,4009.116699,4071.556885,4032.50708,4032.50708,0,BTCUSD=X
2019-03-19,4032.692139,4023.812988,4082.216064,4071.190186,4071.190186,0,BTCUSD=X
2019-03-20,4070.794189,4031.110352,4089.462646,4087.476807,4087.476807,0,BTCUSD=X
2019-03-21,4083.95459,4005.150635,4097.359863,4029.326904,4029.326904,0,BTCUSD=X
2019-03-22,4028.513916,4021.542725,4053.907227,4023.968018,4023.968018,0,BTCUSD=X
2019-03-25,4024.112305,3934.03125,4038.840576,3963.070557,3963.070557,0,BTCUSD=X
2019-03-26,3969.229004,3944.753174,3985.081299,3985.081299,3985.081299,0,BTCUSD=X
2019-03-27,3984.244629,3977.810059,4087.065918,4087.065918,4087.065918,0,BTCUSD=X
2019-03-28,4087.58374,4040.266846,4094.901611,4069.106445,4069.106445,0,BTCUSD=X
2019-03-29,4068.300293,4034.0979,4113.501465,4098.374023,4098.374023,0,BTCUSD=X
2019-04-01,4105.361816,4096.901367,4164.953613,4158.182129,4158.182129,0,BTCUSD=X
2019-04-02,4156.92041,4155.317383,4905.955078,4879.876953,4879.876953,0,BTCUSD=X
2019-04-03,4879.958008,4876.621582,5307.004883,4973.021484,4973.021484,0,BTCUSD=X
