Date,Close,Ticker
Feb-01-2018,1579.87,Russell 2000
Feb-02-2018,1547.27,Russell 2000
Feb-05-2018,1491.09,Russell 2000
Feb-06-2018,1507.17,Russell 2000
Feb-07-2018,1507.97,Russell 2000
Feb-08-2018,1463.79,Russell 2000
Feb-09-2018,1477.84,Russell 2000
Feb-12-2018,1490.98,Russell 2000
Feb-13-2018,1494.95,Russell 2000
Feb-14-2018,1522.1,Russell 2000
Feb-15-2018,1537.2,Russell 2000
Feb-16-2018,1543.55,Russell 2000
Feb-20-2018,1529.99,Russell 2000
Feb-21-2018,1531.84,Russell 2000
Feb-22-2018,1529.99,Russell 2000
Feb-23-2018,1549.19,Russell 2000
Feb-26-2018,1559.33,Russell 2000
Feb-27-2018,1536.47,Russell 2000
Feb-28-2018,1512.45,Russell 2000
Mar-01-2018,1507.39,Russell 2000
Mar-02-2018,1533.17,Russell 2000
Mar-05-2018,1546.05,Russell 2000
Mar-06-2018,1562.2,Russell 2000
Mar-07-2018,1574.53,Russell 2000
Mar-08-2018,1571.97,Russell 2000
Mar-09-2018,1597.14,Russell 2000
Mar-12-2018,1601.06,Russell 2000
Mar-13-2018,1592.05,Russell 2000
Mar-14-2018,1584.31,Russell 2000
Mar-15-2018,1576.62,Russell 2000
Mar-16-2018,1586.05,Russell 2000
Mar-19-2018,1570.56,Russell 2000
Mar-20-2018,1570.41,Russell 2000
Mar-21-2018,1579.3,Russell 2000
Mar-22-2018,1543.87,Russell 2000
Mar-23-2018,1510.08,Russell 2000
Mar-26-2018,1543.72,Russell 2000
Mar-27-2018,1513.57,Russell 2000
Mar-28-2018,1513.03,Russell 2000
Mar-29-2018,1529.43,Russell 2000
Apr-02-2018,1492.53,Russell 2000
Apr-03-2018,1512.16,Russell 2000
Apr-04-2018,1531.67,Russell 2000
Apr-05-2018,1542.93,Russell 2000
Apr-06-2018,1513.3,Russell 2000
Apr-09-2018,1514.46,Russell 2000
Apr-10-2018,1543.43,Russell 2000
Apr-11-2018,1546.81,Russell 2000
Apr-12-2018,1557.33,Russell 2000
Apr-13-2018,1549.51,Russell 2000
Apr-16-2018,1563.03,Russell 2000
Apr-17-2018,1579.8,Russell 2000
Apr-18-2018,1583.56,Russell 2000
Apr-19-2018,1573.82,Russell 2000
Apr-20-2018,1564.12,Russell 2000
Apr-23-2018,1562.12,Russell 2000
Apr-24-2018,1553.28,Russell 2000
Apr-25-2018,1550.47,Russell 2000
Apr-26-2018,1557.9,Russell 2000
Apr-27-2018,1556.24,Russell 2000
Apr-30-2018,1541.88,Russell 2000
May-01-2018,1550.33,Russell 2000
May-02-2018,1554.91,Russell 2000
May-03-2018,1546.56,Russell 2000
May-04-2018,1565.6,Russell 2000
May-07-2018,1578.95,Russell 2000
May-08-2018,1586.39,Russell 2000
May-09-2018,1596.05,Russell 2000
May-10-2018,1603.71,Russell 2000
May-11-2018,1606.79,Russell 2000
